sku,title,shopify,amazon,etsy,google,notes
,Triangle Play Equipment for Kids 3in1 Learning Play (Blue),active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
366_TV T_WALN_,TV table - Brass collection,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
362_UMBR_WALN_,Umbrella Stand - Brass Collection,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
70_UTEN_ROSE_,"Utensil holder, Cutlery Organizer, Silverware holder",active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
56_SOFA_PHVI_,Vintage wooden sofa arm tray table,active,B07D8T3V4V,,yes,etsy: no connector
,Vinyl Record Shelf - Brass Collection,active,B0FPXFZFTV,,yes,"no sku in shopify; amazon match likely, verify; etsy: no connector"
382_CLOT_WENG_,Wall Coat Rack - Cavallo,active,B0CKXX3QVF,,yes,etsy: no connector
196_META_WHIT_,Wall floating plant shelf with spaces,active,B0D678XL89,,yes,etsy: no connector
46_HANG__,Wall hanger with 5 white metal hooks,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
165_HANG__,Wall hanger with hooks,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
51_WALL__,Wall hanger with metal hooks,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
10_META_GREE_,Wall hanging shelf with rounded edges,active,B098P9RTQM,,yes,"amazon match likely, verify; etsy: no connector"
174_CAT _WHIT_,Wall Mounted Cat Perch metal shelves,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
219_KEY __,Wall mounted key holder shelf metal,active,B07T2D1T65,,yes,etsy: no connector
370_TP H_WALN_,Wall Mounted Toilet Paper Holder - angyra,active,B07T2D1T65,,yes,etsy: no connector
181_WATC_WHIT_,Watch display stand ZigZag,active,B08ZVJ9S7N,,yes,"amazon match likely, verify; etsy: no connector"
,White boat,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
69_BOWL_BLAC_,White Bowl,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,White Bridge,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
,White Classic,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
,White CLOUD,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
,White cube,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
,White CurveLine,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
260_META_SET3_,white ELLIPSE,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,White piano,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
,White SMILE,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
331_TP H_WALN_,White U,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,White WAVE,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
,White wide,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
4H-76FB-XVSH,Wine bottle stand,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
250_WOOD__,Wood Bedside Lamp Round ECLIPSE,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
298_CORN_WALN_,Wood Corner Shelf -  Edge,active,B0D678XL89,,yes,etsy: no connector
363_WOOD_WALN_,Wood Hanger for Hallway - Brass Collection,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
158_3 IN__,Wood miniature pallet desk organize,draft,,,no,draft; etsy: no connector
304_MONI_WALN_,Wood Monitor Stand Curved Design,active,B0D9YV7D14,,yes,etsy: no connector
